PDK,Status,Name,Owner,Work type,Tag,Branch,Creator,Is automated,Business line,Summary,Accounting type
tx-offshore-tax-application,active,"Offshore Tax Application, preparation of one reply letter",Service delivery,agent,,HK,"agent, system",FALSE,taxation,,
cs-subdivision-of-shares,active,Subdivision of Shares,Billing and growth,agent,,SG,agent,FALSE,corporateSecretary,,
cp-check-user-pep-and-sanctions,active,Check user RiskScreen,Billing and growth,agent,,"GB, HK, SG",system,FALSE,compliance,Complience should update user if the under sanctions or other restrictions,
cs-approve-legal-address,active,cs-approve-legal-address,Billing and growth,agent,,GB,system,FALSE,clientSuccess,The agent needs to add the new company details to Hoxton (legal address provider),"None-accounting, OA, Xero"
up-audit,active,Audit upsell,Service delivery,communication,,HK,agent,FALSE,upsell,Communication with a client to upsell the audit,OA
ru-adhoc,active,,Billing and growth,agent,,SG,agent,FALSE,renewalsUpsell,The pdk is for the renewal team when they work with adhoc,"None-accounting, OA"
ac-accounting-compliance-nd-review,active,Compliance ND Review <Date>,Service delivery,agent,,SG,system,FALSE,accounting,Compliance ND Review for a client,"None-accounting, OA, Xero"
ac-accounting-start,deprecated,Accounting Client Assignation,,agent,,"GB, SG",system,TRUE,accounting,Accounting client assignation,OA
ac-accounting-start-hk,deprecated,,,agent,,HK,system,TRUE,accounting,Accounting client assignation,OA
ac-accounting-strike-off-internal,active,Accounting Strike Off - Zerorization of accounts,Service delivery,agent,,"GB, SG",system,TRUE,accounting,Company strike off,"None-accounting, OA, Xero"
ac-accounts-filing-report-internal,active,"<First &/ Dormant> Statutory Accounts filing, <Date start> - <Date end>",Service delivery,agent,"filing flow, report, year end",GB,system,TRUE,accounting,Prepare year-end accounts for regulatory filing,OA
ax-annual-filing-hmrc,active,"Annual filing to HRMC, <Date start> - <Date end>",Service delivery,agent,"filing flow, report",GB,system,TRUE,accounting,Prepare and file to HMRC the Corporate/Self-Assessment Tax return,OA
ax-accountant-notification,active,Notification for accountant,Service delivery,agent,,"GB, HK, SG",system,TRUE,accounting,,
ac-advise-needed,active,,Service delivery,communication,,"GB, HK, SG","agent, client",FALSE,accounting,Open format ticket regarding accounting matters,"None-accounting, OA, Xero"
ac-audit-liaising-report-internal,active,Audit Liaising,Service delivery,agent,one-off,"GB, HK, SG",system,TRUE,accounting,Assist clients with audit questions,OA
ac-bank-account-match,deprecated,,,communication,,?,,,accounting,,
ac-bank-reconnect,active,Reconnect your bank accounts,Client experience,client,"bank account, bank connection","GB, HK, SG",system,TRUE,accounting,Re-connect bank integration due to regulatory rules,OA
ac-bank-statement,deprecated,,,communication,,"GB, HK, SG",,,accounting,Outdated category — used in various unstructured ways,
ac-bank-statements-chasing,deprecated,,,agent,,"GB, SG",system,,accounting,Outdated ticket for bank statement chasing,
ac-company-tax-report-internal,deprecated,Corporation Tax Payment Due for <FYE>,,agent,year end,GB,system,FALSE,accounting,Reminder to pay Corporate tax,OA
ac-consolidation-internal,active,"Consolidation reporting, <Jun 2022 - May 2023>",Service delivery,agent,"report, year end","HK, SG",system,TRUE,accounting,Consolidation report for the financial year,OA
ac-cpf-registration-internal,active,CPF Registration,Service delivery,agent,,SG,system,FALSE,payroll,CPF registration,
ac-csch-report-internal,active,Confirmation Statement Completion <Date>,Service delivery,agent,report,GB,system,FALSE,accounting,Prepare and submit Confirmation statement to Companies House,OA
ac-custom-report-internal,active,Custom report preparation,Service delivery,agent,report,GB,system,FALSE,accounting,,
ac-document-categorisation,active,Categorisation,Service delivery,agent,,"GB, HK, SG",system,FALSE,accounting,Bookkeeping categorisation,OA
ac-document-categorization-fallback,active,Categorisation fallback ticket for Bookkeeper,Service delivery,agent,,"GB, HK, SG",system,FALSE,accounting,Bookkeeping categorisation,OA
ac-document-complex-reconciliation-in,active,Complex Reconciliation in,Service delivery,agent,,"GB, HK, SG",system,TRUE,accounting,Reconciliation of the money-in financial transactions,OA
ac-document-complex-reconciliation-out,active,Complex Reconciliation out,Service delivery,agent,,"GB, HK, SG",system,TRUE,accounting,Reconciliation of the money-out financial transactions,OA
ac-eci-report-internal,active,"Estimated Chargeable Income (ECI), <Date start - Date end>",Service delivery,agent,"report, year end",SG,system,TRUE,taxation,Kindly proceed with the ECI filing for this client for the Financial Year End ${fiscalYearEnd}.,"OA, Xero"
ac-filing-eci,deprecated,,,communication,,?,,,accounting,,
ac-filing-tax-return,deprecated,,,communication,,?,,,taxation,,
ac-follow-up,active,,Service delivery,communication,,"GB, HK, SG","agent, client",FALSE,accounting,Open format ticket regarding accounting matters,"OA, Xero"
ac-follow-up-fye,deprecated,,,agent,,SG,agent,FALSE,accounting,Follow up with a client to gather documents for FYE,OA
ac-gst-exemption-internal,active,GST Exemption,Service delivery,agent,one-off,SG,system,FALSE,accounting,GST Exemption for the client,"OA, Xero"
ac-gst-registration-internal,active,GST Registration,Service delivery,agent,one-off,SG,system,TRUE,accounting,GST registration for client's business,"None-accounting, OA, Xero"
ac-gst-report-internal,active,"<Monthly/Quarterly> GST Return filing, <Date start> - <Date end>",Service delivery,agent,"filing flow, report",SG,system,TRUE,accounting,Prepare and submit GST report,OA
ac-invisible-accounting-start,deprecated,,,communication,,?,,,accounting,,
ac-ir21-report-internal,active,IR21 for 1,Service delivery,agent,report,SG,system,,payroll,IR21 form,
ac-ir8a-report-internal,active,IR8A for <N> employees by <Company name>,Service delivery,agent,,SG,system,,payroll,IR8A report,
"

ac-incorporation-documents-review",active,Document's manual review for [company name],Service delivery,agent,,GB,system,,,,
ac-monthly-accounting,deprecated,,,communication,,"GB, HK, SG",agent,FALSE,accounting,Open format ticket regarding accounting matters,"OA, Xero"
ac-monthly-accounting,deprecated,,,communication,,?,,,other,,
ac-mpf-report-internal,active,,Service delivery,agent,,HK,system,,payroll,MPF for client's employees,
ac-mpf-scheme-registration-internal,active,,Service delivery,agent,,HK,system,,payroll,MPF scheme registration,
ac-mr-report-internal,deprecated,"Annual management report for Financial year ending <Date>
<Monthly, Quarterly, Cust.period> management report for <Date>",,agent,"report, year end","GB, HK, SG",system,TRUE,accounting,Prepare Management report for the set period for the client,"OA, Xero"
ac-new-service,deprecated,,,agent,,"GB, SG",,,accounting,"Was used as the request for new service, now is outdated",
ac-new-service-hk,deprecated,,,communication,,HK,,FALSE,accounting,Seems outdated for adding new accounting service,
ac-ocr-quality-control,deprecated,,,communication,,?,,,accounting,,
ac-other,active,,Service delivery,communication,,"GB, HK, SG","agent, client",FALSE,accounting,Unstructured ticket with a 'bin' of various requests,"None-accounting, OA, Xero"
ac-other-accounting-services-internal,deprecated,Other accounting services,,agent,one-off,"GB, HK, SG",system,FALSE,accounting,Ticket aggregating unstructured ad-hoc paid services,"None-accounting, OA, Xero"
ac-p11d-report-internal,active,,Service delivery,agent,,GB,system,,payroll,Benefit form for client,
ac-paye-registration,active,PAYE Registration,Service delivery,agent,,GB,"agent, system",TRUE,payroll,PAYE registration,"None-accounting, OA, Xero"
ac-payslip-report-internal,active,Payslip for <N> employee by <Company name>,Service delivery,agent,,SG,system,,payroll,Payslips,
ac-personal-tax-report-internal,deprecated,Personal Tax for <N> employees by <Company name>,,agent,,"GB, SG",,,payroll,Personal tax payment,
ac-procedure-financial-year-closing,deprecated,Closing Financial Year ending <Date>,,client,year end,SG,system,TRUE,accounting,Client-facing procedure for providing all inputs for closing the financial year,OA
ac-promise-to-client-internal,deprecated,,,agent,,"GB, HK, SG",agent,FALSE,accounting,Seems outdated type of ticket for tickets created from other tickets,"None-accounting, OA, Xero"
ac-reconnect-store,deprecated,,,client,,"GB, SG",,,accounting,Re-connect e-com platform due to regulatory rules,
ac-reference-preparation,active,"

Professional references",Service delivery,agent,,GB,system,FALSE,accounting,,
ac-tax-return-report-internal,active,"First Profits Tax Return <FY>
Profits Tax Return for <FY>",Service delivery,agent,"report, year end",HK,system,FALSE,taxation,Tax return report for HK,"None-accounting, OA, Xero"
ac-taxation,deprecated,,,communication,,?,,,accounting,,
ac-tax-investigation,active,"

Tax investigation support",Service delivery,agent,,GB,system,,accounting,,
ac-trial-ends,deprecated,,,communication,,?,,,accounting,,
ac-trial-start,deprecated,,,agent,,"GB, SG",,,accounting,Seems outdated,
ac-ufs-report,deprecated,,,agent,,"GB, SG",,,accounting,manual alternative for automated UFS ticket,
ac-ufs-report-internal,active,"Unaudited Financial Statements, <Period>",Service delivery,agent,"report, year end","HK, SG",system,TRUE,accounting,Prepare UFS report for the financial year,OA
ac-vat-registration,active,VAT Registration,Service delivery,agent,one-off,GB,"agent, system",TRUE,taxation,VAT registration,"OA, Xero"
ac-vat-report-internal,active,"<Monthly/Quarterly/Yearly> VAT Return submission, <month + year>",Service delivery,agent,"filing flow, report",GB,system,TRUE,accounting,Prepare and submit VAT report,OA
ac-xbrl-report-internal,active,"XBRL Reporting - <Simplified, Full>",Service delivery,agent,"report, year end",SG,system,FALSE,accounting,Prepare full XBRL report,OA
ac-xero-connection-failed,deprecated,Xero Connection Failed,,agent,,"GB, HK, SG",system,FALSE,accounting,Seems outdated for Xero,
ad-other,active,,Client experience,communication,,"GB, HK, SG",agent,,admin,Conversations around Mail delivery by Registered Office Team,
ad-mail,active,Mail,Client experience,communication,,"GB, HK, SG",agent,FALSE,admin,Conversations around Mail delivery,
as-deduplication,active,Check duplicates,Service delivery,agent,,"GB, HK, SG",system,FALSE,accounting,Is it document deduplication process?,OA
as-document-classification,active,Tagging,Service delivery,agent,,"GB, HK, SG",system,FALSE,accounting,Document classification,"None-accounting, OA, Xero"
as-document-classification-revision,deprecated,Classification revision,,agent,,"GB, HK, SG",system,FALSE,accounting,Classification revision,OA
as-fallback-ticket,active,Fallback ticket,Service delivery,agent,,"GB, HK, SG",system,FALSE,accounting,Fix document error,OA
as-payslip-employee-selection,active,Employee Selection,Service delivery,agent,,"GB, SG",system,FALSE,accounting,Employee selection for Payslips,OA
as-quality-control,active,Quality Control,Service delivery,agent,,"GB, HK, SG",system,FALSE,accounting,Document processing quality control,OA
as-transaction-conflicts-resolving,active,Resolve discrepancies in transactions,Service delivery,agent,,"GB, HK, SG",system,FALSE,accounting,,OA
audit-other,active,,Service delivery,agent,,HK,agent,,audit,Conduct Audit for a certain period,
ax-annual-filing-companies-house,deprecated,Annual filing to Companies House for the FY ending ${fyeEndingYear},,agent,year end,GB,system,FALSE,accounting,Annual filing to Companies House,OA
ax-chasing-call-bank-reconnection,deprecated,Follow-up call,,agent,"bank account, bank connection, call","GB, HK, SG",system,TRUE,accounting,Follow-up call for Plaid re-connection,OA
ax-chasing-call-month,deprecated,Follow-up call,,agent,"call, documents collection",GB,system,TRUE,accounting,Follow-up call to collect clients' documents,OA
